OpenAPI feature,Count
ParameterStyle_deepObject,42
ResponseCode_204,4
ExampleComponent,0
SchemaType_integer,145
Items_Depth_1,59
ResponseCode_200,33
ResponseCode_429,2
GlobalWebhook,0
RequiredParameter,28
SchemaExample_Depth_2,118
GlobalExtension,0
Response,68
Link,0
RefSchema_Depth_2,156
ResponseComponent,0
RequestBodyComponent,0
GlobalSecurity,1
Path,37
ResponseHeader,0
Pattern_Depth_2,117
PathParameter,0
ReadOnlySchema_Depth_1,354
SecurityScheme_Type_http,1
NullableSchema_Depth_1,2
Component,48
Maximum_Depth_1,21
Responses,38
ResponseExtension,0
ReadOnlySchema_Depth_2,412
RequestBody,6
RequestBodyExtension,0
Tag,0
Operation,38
Example,225
MediaTypeExtension,0
PathExtension,0
CallbackComponent,0
SchemaComponent,41
SchemaType_array,59
Properties_Depth_2,517
Callback,0
SchemaExample_Depth_1,107
Path_Patch,3
ResponseCode_304,1
OperationExtension,0
Properties_Depth_1,820
SchemaType_string,1065
Enum_Depth_2,27
Format_date-time_Depth_1,146
ResponseCode_400,5
RequiredRequestBody,6
Encoding,0
SchemaExtension_Depth_1,0
ParameterExtension,0
ExplodeParameter,42
ResponseContent,54
RefSchema_Depth_1,218
ResponsesExtension,0
RequestBodyContent_application/json,6
SchemaType_boolean,4
Server,2
ServerVariable,3
query_Parameter,84
SchemaExtension_Depth_2,0
PathServer,0
OperationTag,36
ResponseCode_201,1
HeaderComponent,0
RequiredSchema_Depth_1,2
ParameterComponent,6
ServerExtension,0
Pattern_Depth_1,114
ResponseCode_404,22
Header,0
MediaTypeEncoding,0
Format_uuid_Depth_1,34
SecuritySchemeExtension,0
Path_Post,5
SecuritySchemeComponent,1
OperationParameter,106
Enum_Depth_1,81
Minimum_Depth_1,42
ResponseContent_application/json,54
ResponseLink,0
Format_uuid_Depth_2,19
SecurityScheme_Scheme_basic,1
LinkComponent,0
ComponentExtension,0
Path_Get,30
SchemaType_object,336
path_Parameter,28
Format_date-time_Depth_2,170
RequestBodyContent,6
