OpenAPI feature,Count
ResponseHeader,1
HeaderExtension,0
SecuritySchemeComponent,0
ServerExtension,0
ResponseCode_200,1
ResponseCode_201,1
ComponentExtension,0
Header,1
ResponseContent_application/json,2
SchemaType_array,1
RequestBodyComponent,0
SchemaExample_Depth_1,1
Properties_Depth_2,0
SchemaExtension_Depth_2,0
ServerVariable,0
Tag,0
Responses,2
Enum_Depth_1,0
ResponseContent,2
Schema_Depth_1,5
Callback,0
PathServer,0
Component,1
SchemaType_object,1
Properties_Depth_1,2
SchemaExtension_Depth_1,0
ParameterComponent,0
ResponseComponent,0
HeaderComponent,0
OperationExtension,0
ResponsesExtension,0
Path_Post,1
PathParameter,0
Enum_Depth_2,0
HeaderContent,0
Operation,2
ResponseExtension,0
RequestBodyExtension,0
RequestBodyContent_application/json,1
Link,0
LinkComponent,0
CallbackComponent,0
MediaTypeExample,1
GlobalWebhook,0
Path,1
OperationParameter,0
MediaTypeEncoding,0
Encoding,0
GlobalExtension,0
Response,2
ExampleExtension,0
MediaTypeExtension,0
ResponseLink,0
RequestBody,1
PathExtension,0
SchemaComponent,1
Path_Get,1
Example,4
SchemaType_string,3
HeaderStyle_,2
Server,1
RequestBodyContent,1
Items_Depth_1,1
Schema_Depth_2,1
HeaderMultipleExamples,0
ExampleComponent,0
