OpenAPI feature,Count
ServerExtension,0
PathServer,0
ExampleComponent,0
GlobalExtension,0
Schema_Depth_1,164
Responses,3
Callback,0
PathParameter,0
PathExtension,0
HeaderExtension,0
ResponseCode_402,1
RequiredRequestBody,2
Component,9
RequestBodyContent_application/x-www-form-urlencoded,2
Properties_Depth_1,133
Header,4
Properties_Depth_2,13
SchemaType_integer,3
SchemaType_boolean,15
ResponseContent_application/json,1
Tag,0
SecurityScheme_In_header,1
GlobalSecurity,1
MediaTypeExample,1
Link,0
Path_Get,1
HeaderComponent,0
SchemaType_object,43
SchemaExtension_Depth_2,0
Format_float_Depth_1,5
RequestBodyComponent,0
GlobalWebhook,0
SchemaType_string,111
ResponseCode_429,3
HeaderMultipleExamples,0
ResponseContent_image/*,1
ParameterComponent,0
OperationParameter,0
Example,85
MediaTypeExtension,0
Schema_Depth_2,24
SchemaComponent,8
RequestBodyExtension,0
RefSchema_Depth_1,14
RequestBodyContent_application/json,2
ResponseExtension,0
ResponseLink,0
Path_Post,2
Operation,3
RequestBody,2
ResponseComponent,0
SecuritySchemeComponent,1
ServerVariable,0
ResponseCode_200,3
ResponseContent_*/*,11
SchemaType_number,5
CallbackComponent,0
Server,1
RequestBodyContent_multipart/form-data,2
ResponsesExtension,0
Items_Depth_1,11
SecurityScheme_Type_apiKey,1
ComponentExtension,0
Enum_Depth_1,94
RequestBodyContent,6
Response,12
SchemaExample_Depth_2,13
OperationTag,3
OperationExtension,0
ResponseContent,13
ResponseCode_400,2
Enum_Depth_2,0
HeaderContent,0
LinkComponent,0
Path,3
SchemaExample_Depth_1,47
Format_binary_Depth_1,7
HeaderStyle_,8
SecuritySchemeExtension,0
Encoding,0
ResponseCode_403,3
MediaTypeEncoding,0
ResponseHeader,4
SchemaType_array,11
ExampleExtension,0
SchemaExtension_Depth_1,0
