OpenAPI feature,Count
LinkComponent,0
Callback,0
RequiredRequestBody,4
RequestBodyContent,4
ParameterComponent,0
Path_Post,4
ResponseComponent,0
Server,2
Responses,5
Header,0
ResponseExtension,0
CallbackComponent,0
GlobalExtension,0
Operation,5
ResponseHeader,0
ResponseCode_200,4
Properties_Depth_1,54
Example,0
MediaTypeEncoding,0
MinItems_Depth_1,2
OperationParameter,0
Properties_Depth_4,0
SchemaExtension_Depth_4,0
Tag,0
SchemaExtension_Depth_2,0
ExampleComponent,0
Path_Head,1
ResponseContent_*/*,13
PathExtension,0
SecuritySchemeComponent,0
Format_binary_Depth_1,5
SchemaType_array,13
Enum_Depth_2,0
SchemaType_boolean,2
ServerVariable,0
SchemaExtension_Depth_1,0
MediaTypeExtension,0
RequestBodyExtension,0
RequiredSchema_Depth_3,4
Component,3
ComponentExtension,0
GlobalWebhook,0
Enum_Depth_1,4
Items_Depth_1,7
Schema_Depth_3,8
MaxItems_Depth_2,2
SchemaComponent,3
ResponseContent,13
ResponseCode_400,4
Properties_Depth_3,4
Enum_Depth_4,0
RefSchema_Depth_1,11
RequiredSchema_Depth_1,44
SchemaType_integer,10
Schema_Depth_4,2
ServerExtension,0
ResponsesExtension,0
ResponseLink,0
ResponseCode_500,5
Path,5
PathParameter,0
Items_Depth_3,2
HeaderComponent,0
Response,14
SchemaType_string,41
RequestBody,4
Schema_Depth_2,7
Properties_Depth_2,0
SchemaExtension_Depth_3,0
MinItems_Depth_2,2
RequestBodyComponent,0
OperationExtension,0
ResponseCode_204,1
Schema_Depth_1,74
SchemaType_object,14
Link,0
PathServer,0
Enum_Depth_3,0
Encoding,0
RequestBodyContent_multipart/form-data,4
MaxItems_Depth_1,2
Items_Depth_2,4
