OpenAPI feature,Count
RequiredParameter,39
SecuritySchemeComponent,1
RefSchema_Depth_2,23
ResponseContent_text/xml,1
ResponseCode_204,12
ResponseComponent,4
ResponseContent_application/json,56
ResponseContent_text/csv,7
Format_email_Depth_2,4
ComponentExtension,0
Properties_Depth_1,1354
ResponseContent_*/*,12
Properties_Depth_2,628
Maximum_Depth_2,2
Responses,88
SchemaType_object,254
MediaTypeExtension,0
Items_Depth_1,86
path_Parameter,39
PathServer,0
SchemaExample_Depth_2,639
RequestBody,16
AdditionalProperties_Depth_1,38
Format_string_Depth_1,23
Server,1
SchemaType_integer,532
Format_mac_Depth_2,17
Enum_Depth_1,22
RequiredRequestBody,14
ParameterExtension,0
ResponseCode_403,2
Properties_Depth_4,0
Format_hostname_Depth_2,2
SchemaComponent,28
Tag,3
Encoding,0
Format_int64_Depth_2,156
SchemaExtension_Depth_3,0
Path_Post,3
SecuritySchemeExtension,0
PathExtension,0
SchemaType_boolean,130
Format_boolean_Depth_1,11
ServerExtension,0
OperationParameter,80
Minimum_Depth_1,2
Format_port_Depth_2,14
Format_number_Depth_1,12
RequestBodyContent_text/json,1
Path_Patch,14
AdditionalPropertiesAllowed_Depth_2,15
Format_port_Depth_3,14
Component,33
RequestBodyContent_application/json,14
Format_mac_Depth_1,10
Maximum_Depth_1,2
OneOf_Depth_1,2
Format_uuid_Depth_1,263
Format_binary_Depth_1,13
RequiredSchema_Depth_1,105
AdditionalPropertiesAllowed_Depth_1,40
ExampleComponent,0
GlobalExtension,0
ResponseLink,0
RefSchema_Depth_1,63
SchemaExtension_Depth_2,0
Path_Put,8
Format_mac_Depth_3,7
TagExtension,0
SchemaExtension_Depth_1,0
Response,206
ResponseCode_401,85
RequiredSchema_Depth_2,32
Format_hostname_Depth_1,3
ParameterComponent,0
Operation,88
OperationTag,88
Path_Get,52
ResponseHeader,0
PathParameter,0
SchemaExtension_Depth_4,0
ResponseExtension,0
SchemaExample_Depth_1,1275
query_Parameter,41
Schema_Depth_4,14
Format_int64_Depth_1,372
Enum_Depth_3,0
Schema_Depth_2,752
Enum_Depth_2,2
Format_uuid_Depth_2,109
Schema_Depth_3,117
ResponseCode_500,2
Format_boolean_Depth_2,8
SchemaType_string,1368
ResponseCode_200,76
Format_email_Depth_1,17
RequestBodyExtension,0
RequestBodyContent,16
HeaderComponent,0
GlobalWebhook,0
SchemaExample_Depth_3,70
RequestBodyComponent,0
Items_Depth_2,71
CallbackComponent,0
Path,67
Callback,0
MediaTypeEncoding,0
AdditionalProperties_Depth_2,46
Enum_Depth_4,0
Format_unixtime_Depth_1,2
SecurityScheme_Type_http,1
SecurityScheme_Scheme_bearer,1
Schema_Depth_1,1558
ResponsesExtension,0
Header,0
Format_url_Depth_1,3
Properties_Depth_3,0
RequestBodyContent_application/octet-stream,1
ServerVariable,0
OperationExtension,0
AdditionalProperties_Depth_3,14
Format_port_Depth_1,2
LinkComponent,0
Example,1986
Path_Delete,11
ResponseCode_404,29
SchemaType_array,157
Link,0
ParameterExample,2
ResponseContent,76
Minimum_Depth_2,2
