OpenAPI feature,Count
SchemaType_array,22
RefSchema_Depth_2,18
Path_Put,1
Path_Post,1
Minimum_Depth_1,2
Properties_Depth_4,0
SecuritySchemeComponent,1
RequestBody,2
Server,1
SchemaType_string,105
ResponseCode_200,6
Header,0
SchemaType_integer,11
Properties_Depth_2,58
SchemaExtension_Depth_3,0
AdditionalProperties_Depth_1,2
HeaderComponent,0
LinkComponent,0
Operation,6
Encoding,0
Enum_Depth_1,0
ResponseExtension,0
PathParameter,0
PathExtension,0
Schema_Depth_1,87
Example,28
SchemaExample_Depth_1,15
Properties_Depth_3,7
MediaTypeEncoding,0
TagExtension,0
query_Parameter,13
PathServer,0
Component,11
ResponseComponent,0
ExampleComponent,0
GlobalExternalDoc,1
ServerVariable,0
Path_Get,3
Schema_Depth_2,79
RequestBodyContent,2
ExternalDocExtension,0
Path,3
ParameterExtension,0
Link,0
Callback,0
RequestBodyContent_application/json,2
SchemaComponent,10
ResponseLink,0
Maximum_Depth_1,2
AdditionalProperties_Depth_3,1
ResponseContent,4
ResponseContent_application/json,4
Enum_Depth_4,0
SecuritySchemeExtension,0
ParameterComponent,0
Properties_Depth_1,58
ResponseHeader,0
SchemaType_object,44
RequiredSchema_Depth_2,20
SchemaExtension_Depth_2,0
Enum_Depth_3,0
Path_Delete,1
GlobalWebhook,0
RefSchema_Depth_3,3
OperationTag,6
OperationParameter,13
SchemaExtension_Depth_1,0
RequiredParameter,3
Response,6
Format_int64_Depth_1,7
MediaTypeExtension,0
SecurityScheme_Type_apiKey,1
ComponentExtension,0
OperationExtension,0
ResponsesExtension,0
Enum_Depth_2,0
RequiredSchema_Depth_3,4
CallbackComponent,0
Tag,2
ParameterExample,13
RefSchema_Depth_1,6
AdditionalProperties_Depth_2,5
RequestBodyComponent,0
SecurityScheme_In_header,1
GlobalExtension,0
ServerExtension,0
Responses,6
RequestBodyExtension,0
SchemaExtension_Depth_4,0
RequiredSchema_Depth_1,6
Items_Depth_1,19
Schema_Depth_3,15
RequiredRequestBody,2
Format_int64_Depth_2,2
Items_Depth_2,3
Schema_Depth_4,1
