OpenAPI feature,Count
OAuthFlowScopes,6
OAuthFlowExtension,0
RequiredRequestBody,21
RequestBodyContent,26
Maximum_Depth_1,37
Format_asset-upload-id_Depth_1,1
ComponentExtension,1
ServerVariable,0
Enum_Depth_1,532
Format_date-time_Depth_1,67
SchemaExtension_Depth_5,0
DeprecatedParameter,5
SchemaComponent,140
OperationParameter,371
ResponseCode_415,2
MinItems_Depth_1,1
Properties_Depth_1,1933
RequestBodyContent_application/json,25
SchemaExample_Depth_3,85
ResponseContent_text/html,1
OperationExtension,49
GlobalWebhook,0
Path_Post,25
RequestBodyContent_application/x-www-form-urlencoded,1
RequiredSchema_Depth_1,451
SchemaType_object,1176
Enum_Depth_2,187
Callback,0
Items_Depth_2,213
RequiredSchema_Depth_3,86
ResponseCode_406,11
ExplodeParameter,5
Operation,107
SecuritySchemeExtension,1
RequestBody,25
OneOf_Depth_1,2
SecuritySchemeComponent,2
OAuthFlow,1
Path,83
ExampleExtension,0
ResponseCode_403,102
path_Parameter,43
RequiredSchema_Depth_5,10
SecurityScheme_Type_oauth2,1
OauthFlowTokenUrl,1
SchemaExtension_Depth_2,0
ResponseExtension,0
SchemaExtension_Depth_1,0
Properties_Depth_2,2650
MediaTypeEncoding,0
RefSchema_Depth_3,82
MaxLength_Depth_2,2
ExampleComponent,0
Responses,107
OAuthFlowAuthorizationUrl,1
Enum_Depth_3,111
Pattern_Depth_1,8
SchemaExample_Depth_5,5
Properties_Depth_5,10
Minimum_Depth_2,4
MaxProperties_Depth_1,5
ResponseCode_200,88
SchemaExample_Depth_4,23
MinLength_Depth_1,2
Tag,0
SchemaType_number,202
Format_country-code-2_Depth_1,8
RefSchema_Depth_4,18
Format_asset-id_Depth_1,1
SchemaType_string,2617
MediaTypeExtension,0
SchemaType_integer,1198
ParameterExtension,3
Minimum_Depth_1,71
Items_Depth_4,5
LinkComponent,0
Server,1
RefSchema_Depth_2,578
ResponseCode_204,13
SchemaExtension_Depth_3,0
AnyOf_Depth_1,6
MaxLength_Depth_1,2
SecurityScheme_Type_http,1
ResponseContent,93
Example,1527
ParameterExample,236
SchemaExtension_Depth_4,0
Encoding,0
ResponseLink,0
DeprecatedSchema_Depth_1,11
RefSchema_Depth_5,5
ResponseCode_400,102
RequiredParameter,79
MediaTypeExample,4
Properties_Depth_3,201
Path_Get,75
ResponseCode_401,102
DeprecatedSchema_Depth_2,6
Enum_Depth_4,151
header_Parameter,1
ServerExtension,0
PathParameter,0
RequestBodyExtension,0
Path_Delete,6
Format_country-code-2_Depth_2,4
OperationTag,107
ResponseContent_application/json,92
SchemaType_array,539
SchemaType_boolean,260
Properties_Depth_4,86
ResponseCode_302,1
Response,463
ExclusiveMinimum_Depth_1,3
Format_ipv4_Depth_1,1
Link,0
Format_date_Depth_1,28
HeaderComponent,0
SchemaExample_Depth_1,477
Items_Depth_1,300
PathServer,0
Format_date-time_Depth_2,88
Format_date_Depth_2,28
DeprecatedOperation,9
Format_uri_Depth_1,4
ResponseComponent,0
Header,0
MaxProperties_Depth_2,9
ResponseCode_413,2
ResponseHeader,0
RefSchema_Depth_1,329
ResponseCode_201,6
MaxItems_Depth_1,7
Format_country-code-3_Depth_1,19
Enum_Depth_5,10
ResponsesExtension,0
query_Parameter,327
Format_uri_Depth_2,12
Items_Depth_3,21
SecurityScheme_Scheme_basic,1
PathExtension,0
ResponseCode_404,34
Component,142
RequestBodyComponent,0
OAuthFlowsExtension,0
GlobalExtension,0
RequiredSchema_Depth_2,633
ParameterComponent,0
Path_Patch,1
RequiredSchema_Depth_4,56
Format_negated-country-code-2_Depth_2,1
CallbackComponent,0
SchemaExample_Depth_2,583
