OpenAPI feature,Count
BearerFormat,1
OperationExtension,0
path_Parameter,4
RequestBodyComponent,0
HeaderComponent,0
SecurityScheme_Type_http,1
SecurityScheme_Scheme_bearer,1
Header,0
RefSchema_Depth_3,4
Format_date-time_Depth_2,12
RequestBodyContent,1
ResponseComponent,0
GlobalExtension,0
TagExtension,0
Operation,9
SchemaExtension_Depth_2,0
SchemaExtension_Depth_3,0
Format_url_Depth_2,14
RequiredSchema_Depth_1,2
GlobalWebhook,0
Tag,4
Encoding,0
Properties_Depth_1,515
Minimum_Depth_1,10
Format_email_Depth_2,2
PathServer,0
ResponseCode_200,8
Properties_Depth_3,4
SchemaExample_Depth_2,128
Path_Get,8
Enum_Depth_1,0
Path_Post,1
SecurityScheme_Type_apiKey,1
GlobalSecurity,2
ServerVariable,0
SchemaExtension_Depth_1,0
Response,16
Format_email_Depth_1,3
RequestBodyContent_application/x-www-form-urlencoded,1
SchemaComponent,9
SchemaType_string,423
ResponseContent_application/json,16
Callback,0
SchemaType_boolean,56
Format_year_Depth_1,9
Enum_Depth_2,0
Responses,9
Format_year_Depth_2,6
ResponseContent_application/xml,16
ResponseExtension,0
PathExtension,0
ResponseCode_201,1
LinkComponent,0
OperationParameter,39
query_Parameter,39
Items_Depth_1,34
MediaTypeEncoding,0
ResponseLink,0
RequestBody,1
Server,1
Example,378
AllOf_Depth_1,8
SchemaType_object,166
SecurityScheme_In_query,1
CallbackComponent,0
ParameterExtension,0
ResponsesExtension,0
RefSchema_Depth_1,79
Format_date-time_Depth_1,29
SecuritySchemeComponent,2
Link,0
ResponseCode_404,4
ServerExtension,0
SchemaType_integer,163
SchemaType_array,38
RefSchema_Depth_2,34
Items_Depth_2,4
MediaTypeExtension,0
ParameterComponent,4
ComponentExtension,0
SchemaExample_Depth_1,250
Format_url_Depth_1,23
Path,8
OperationTag,9
Properties_Depth_2,196
ResponseHeader,0
PathParameter,0
RequiredParameter,4
ResponseCode_422,2
Component,15
ExampleComponent,0
ResponseContent,32
Enum_Depth_3,0
RequestBodyExtension,0
DefaultResponse,1
SecuritySchemeExtension,0
