OpenAPI feature,Count
ServerExtension,0
Enum_Depth_2,0
ResponseComponent,0
CallbackComponent,0
SchemaExtension_Depth_1,0
ResponseContent_application/json,16
Enum_Depth_4,0
Properties_Depth_4,10
RequestBodyComponent,0
OperationExtension,0
Response,16
NullableSchema_Depth_2,285
SchemaComponent,13
Callback,0
RefSchema_Depth_3,6
SchemaExtension_Depth_3,0
SecuritySchemeComponent,2
path_Parameter,25
SchemaType_string,417
Enum_Depth_1,32
ResponseExtension,0
LinkComponent,0
ComponentExtension,0
Properties_Depth_1,232
SecurityScheme_In_query,1
Properties_Depth_3,63
NullableSchema_Depth_4,5
Component,15
Path,16
Example,0
ResponseHeader,0
PathParameter,0
OperationParameter,25
MediaTypeEncoding,0
Enum_Depth_3,0
SecurityScheme_In_header,1
Operation,16
ParameterExtension,0
ResponsesExtension,0
NullableSchema_Depth_1,162
GlobalExtension,0
Encoding,0
RefSchema_Depth_2,26
PathExtension,0
MediaTypeExtension,0
Link,0
RefSchema_Depth_4,1
SchemaExtension_Depth_4,0
ServerVariable,0
Header,0
ResponseContent,16
SchemaExtension_Depth_2,0
GlobalSecurity,2
ResponseCode_200,16
GlobalWebhook,0
Items_Depth_3,1
Server,4
Path_Get,16
RequiredParameter,25
SchemaType_array,32
Items_Depth_1,25
Properties_Depth_2,381
SchemaType_number,9
RefSchema_Depth_1,5
Tag,0
ParameterComponent,0
HeaderComponent,0
SecurityScheme_Type_apiKey,2
NullableSchema_Depth_3,41
SecuritySchemeExtension,0
SchemaType_boolean,40
SchemaType_integer,223
ResponseLink,0
PathServer,0
Responses,16
Items_Depth_2,6
ExampleComponent,0
