OpenAPI feature,Count
CallbackComponent,0
ParameterExtension,0
PathExtension,0
Items_Depth_2,9
SecurityScheme_In_query,1
LinkComponent,0
Enum_Depth_1,36
Items_Depth_1,29
PathParameter,0
OperationParameter,29
HeaderComponent,0
Example,0
ResponseContent,18
RefSchema_Depth_3,9
GlobalExtension,0
SchemaType_array,41
SchemaType_boolean,48
RefSchema_Depth_4,3
ExampleComponent,0
ServerExtension,0
RequiredParameter,29
ResponsesExtension,0
Properties_Depth_3,107
ResponseComponent,0
ParameterComponent,0
Enum_Depth_2,0
SchemaType_integer,309
MediaTypeEncoding,0
NullableSchema_Depth_3,82
Enum_Depth_4,0
ResponseCode_200,18
ResponseLink,0
Link,0
SchemaExtension_Depth_4,0
Path_Get,18
SchemaExtension_Depth_3,0
Properties_Depth_4,70
NullableSchema_Depth_4,63
SecurityScheme_In_header,1
Callback,0
RefSchema_Depth_1,6
NullableSchema_Depth_1,223
ServerVariable,0
Tag,0
ResponseHeader,0
NullableSchema_Depth_2,372
SchemaType_number,92
Component,18
GlobalWebhook,0
OperationExtension,0
PathServer,0
SecurityScheme_Type_apiKey,2
Path,18
SchemaExtension_Depth_1,0
ResponseContent_application/json,18
GlobalSecurity,2
Header,0
SchemaExtension_Depth_2,0
RequestBodyComponent,0
Server,4
Operation,18
path_Parameter,29
SchemaType_string,508
Properties_Depth_1,301
ComponentExtension,0
Responses,18
Response,18
Encoding,0
MediaTypeExtension,0
Items_Depth_3,3
SecuritySchemeComponent,2
SecuritySchemeExtension,0
RefSchema_Depth_2,32
Properties_Depth_2,482
ResponseExtension,0
Enum_Depth_3,0
SchemaComponent,16
