OpenAPI feature,Count
RefSchema_Depth_2,43
NullableSchema_Depth_2,583
PathServer,0
Items_Depth_3,9
ResponseContent,21
CallbackComponent,0
SchemaType_integer,466
NullableSchema_Depth_3,400
Properties_Depth_4,305
Properties_Depth_5,14
HeaderComponent,0
LinkComponent,0
Path,21
RequiredParameter,32
SchemaType_boolean,61
ResponseLink,0
SchemaExtension_Depth_5,0
SecuritySchemeComponent,2
SecurityScheme_In_query,1
Properties_Depth_2,765
RefSchema_Depth_3,19
Component,26
SecuritySchemeExtension,0
GlobalExtension,0
SchemaExtension_Depth_3,0
ServerVariable,0
Tag,0
SchemaType_string,665
MediaTypeExtension,0
Callback,0
PathExtension,0
Enum_Depth_3,0
Responses,21
Items_Depth_2,17
SchemaComponent,24
SecurityScheme_Type_apiKey,2
ServerExtension,0
ResponseCode_200,21
Enum_Depth_2,0
SchemaType_number,918
GlobalSecurity,2
Enum_Depth_1,42
MediaTypeEncoding,0
RefSchema_Depth_4,13
NullableSchema_Depth_5,4
ExampleComponent,0
GlobalWebhook,0
ResponsesExtension,0
Link,0
SchemaExtension_Depth_4,0
RequestBodyComponent,0
Operation,21
Properties_Depth_1,578
Properties_Depth_3,482
Items_Depth_4,4
ComponentExtension,0
RefSchema_Depth_1,8
Server,4
OperationExtension,0
ResponseHeader,0
SchemaType_array,68
Items_Depth_1,38
SchemaExtension_Depth_2,0
NullableSchema_Depth_4,253
SecurityScheme_In_header,1
SchemaExtension_Depth_1,0
Response,21
ResponseContent_application/json,21
Enum_Depth_4,0
NullableSchema_Depth_1,434
Enum_Depth_5,0
Path_Get,21
OperationParameter,32
path_Parameter,32
Encoding,0
Example,0
RefSchema_Depth_5,4
ParameterComponent,0
ParameterExtension,0
Header,0
ResponseExtension,0
PathParameter,0
ResponseComponent,0
