OpenAPI feature,Count
Tag,0
ResponseLink,0
PathExtension,0
ServerVariable,0
Component,9
RequestBodyComponent,0
GlobalSecurity,2
Path,4
ResponseContent_application/json,4
SchemaExtension_Depth_2,0
Callback,0
Items_Depth_3,2
CallbackComponent,0
SchemaType_number,485
RefSchema_Depth_3,4
Properties_Depth_3,101
NullableSchema_Depth_3,84
path_Parameter,9
SchemaType_array,17
MediaTypeExtension,0
ComponentExtension,0
ResponseContent,4
Enum_Depth_2,0
PathParameter,0
Enum_Depth_4,0
NullableSchema_Depth_1,407
Example,0
Enum_Depth_3,0
RefSchema_Depth_1,1
GlobalWebhook,0
Response,4
GlobalExtension,0
ServerExtension,0
Operation,4
OperationExtension,0
SchemaType_string,176
Encoding,0
Enum_Depth_1,8
ResponseHeader,0
Items_Depth_1,10
NullableSchema_Depth_2,480
SchemaType_boolean,38
Items_Depth_2,5
SchemaExtension_Depth_4,0
SecurityScheme_In_header,1
OperationParameter,9
ParameterExtension,0
ParameterComponent,0
MediaTypeEncoding,0
ResponseExtension,0
Link,0
SchemaExtension_Depth_3,0
HeaderComponent,0
Server,4
RequiredParameter,9
Header,0
RefSchema_Depth_2,9
ExampleComponent,0
SchemaExtension_Depth_1,0
Responses,4
SchemaType_integer,357
Properties_Depth_4,5
SchemaComponent,7
SecuritySchemeComponent,2
Properties_Depth_1,443
PathServer,0
NullableSchema_Depth_4,3
ResponseComponent,0
SecurityScheme_Type_apiKey,2
LinkComponent,0
Path_Get,4
ResponsesExtension,0
ResponseCode_200,4
Properties_Depth_2,509
RefSchema_Depth_4,1
SecuritySchemeExtension,0
SecurityScheme_In_query,1
