OpenAPI feature,Count
path_Parameter,5
PathExtension,0
ResponseExtension,0
Tag,0
Example,0
MediaTypeEncoding,0
ResponseLink,0
HeaderComponent,0
SecurityScheme_In_query,1
Encoding,0
SchemaType_integer,20
GlobalSecurity,2
Response,3
RefSchema_Depth_2,3
SecurityScheme_Type_apiKey,2
ComponentExtension,0
SecurityScheme_In_header,1
ServerExtension,0
RequiredParameter,5
Enum_Depth_1,6
ResponseCode_200,3
Items_Depth_1,3
SchemaExtension_Depth_2,0
Link,0
SecuritySchemeComponent,2
Server,4
Operation,3
PathParameter,0
SecuritySchemeExtension,0
SchemaType_string,57
ParameterExtension,0
ResponseContent,3
Enum_Depth_2,0
Properties_Depth_2,54
ServerVariable,0
Properties_Depth_1,18
SchemaType_array,3
Callback,0
ResponseHeader,0
ResponseContent_application/json,3
ResponseComponent,0
RequestBodyComponent,0
LinkComponent,0
MediaTypeExtension,0
NullableSchema_Depth_1,17
SchemaComponent,1
ExampleComponent,0
CallbackComponent,0
Responses,3
Header,0
ParameterComponent,0
GlobalWebhook,0
OperationExtension,0
OperationParameter,5
SchemaExtension_Depth_1,0
NullableSchema_Depth_2,51
GlobalExtension,0
Path_Get,3
PathServer,0
Component,3
Path,3
ResponsesExtension,0
