OpenAPI feature,Count
Response,3
Header,0
NullableSchema_Depth_2,25
ResponseLink,0
RequestBodyComponent,0
Operation,3
SchemaType_string,48
Encoding,0
RefSchema_Depth_2,4
SchemaType_integer,14
NullableSchema_Depth_3,12
GlobalWebhook,0
Enum_Depth_1,6
Properties_Depth_3,15
ResponseContent,3
Enum_Depth_2,0
Properties_Depth_2,32
Component,4
SecuritySchemeComponent,2
Path_Get,3
ResponseHeader,0
ResponseExtension,0
SchemaComponent,2
ParameterExtension,0
SchemaType_array,7
Items_Depth_1,4
MediaTypeExtension,0
PathServer,0
SecurityScheme_In_header,1
SchemaExtension_Depth_1,0
ResponseCode_200,3
Server,4
RequiredParameter,5
Properties_Depth_1,14
PathParameter,0
ResponseComponent,0
Tag,0
OperationParameter,5
NullableSchema_Depth_1,11
HeaderComponent,0
LinkComponent,0
ComponentExtension,0
GlobalSecurity,2
RefSchema_Depth_3,3
SchemaExtension_Depth_3,0
SecuritySchemeExtension,0
SchemaExtension_Depth_2,0
MediaTypeEncoding,0
SecurityScheme_Type_apiKey,2
ServerExtension,0
Path,3
path_Parameter,5
ResponsesExtension,0
ResponseContent_application/json,3
Items_Depth_2,3
Link,0
Callback,0
ExampleComponent,0
CallbackComponent,0
GlobalExtension,0
ServerVariable,0
Responses,3
Example,0
PathExtension,0
OperationExtension,0
Enum_Depth_3,0
ParameterComponent,0
SecurityScheme_In_query,1
