OpenAPI feature,Count
path_Parameter,7
Response,3
RefSchema_Depth_5,2
ParameterComponent,0
Operation,3
Items_Depth_1,10
GlobalSecurity,2
SecurityScheme_In_query,1
SecurityScheme_In_header,1
ResponseContent,3
SchemaType_integer,356
Link,0
SchemaExtension_Depth_5,0
ServerVariable,0
Items_Depth_3,4
ResponseExtension,0
RefSchema_Depth_3,8
Enum_Depth_5,0
ResponseComponent,0
Path_Get,3
RequiredParameter,7
Enum_Depth_1,6
NullableSchema_Depth_1,247
Example,0
PathParameter,0
ResponsesExtension,0
ResponseCode_200,3
RefSchema_Depth_4,3
RequestBodyComponent,0
Header,0
ResponseLink,0
NullableSchema_Depth_2,154
SchemaComponent,8
ComponentExtension,0
Path,3
NullableSchema_Depth_5,24
Component,10
SecurityScheme_Type_apiKey,2
SecuritySchemeComponent,2
Tag,0
Properties_Depth_1,287
SchemaType_boolean,45
Enum_Depth_3,0
MediaTypeExtension,0
RefSchema_Depth_2,9
Enum_Depth_2,0
SchemaExtension_Depth_4,0
GlobalExtension,0
ServerExtension,0
OperationParameter,7
ParameterExtension,0
LinkComponent,0
CallbackComponent,0
ResponseContent_application/json,3
Callback,0
PathServer,0
SchemaExtension_Depth_2,0
SchemaType_string,136
PathExtension,0
Items_Depth_4,2
ExampleComponent,0
Properties_Depth_5,28
SecuritySchemeExtension,0
GlobalWebhook,0
Encoding,0
SchemaExtension_Depth_1,0
Responses,3
Enum_Depth_4,0
NullableSchema_Depth_3,95
Properties_Depth_4,35
Server,4
ResponseHeader,0
RefSchema_Depth_1,2
MediaTypeEncoding,0
Items_Depth_2,9
Properties_Depth_3,120
SchemaExtension_Depth_3,0
NullableSchema_Depth_4,28
OperationExtension,0
SchemaType_number,104
SchemaType_array,25
Properties_Depth_2,185
HeaderComponent,0
