OpenAPI feature,Count
PathServer,0
PathParameter,0
Items_Depth_3,4
SecuritySchemeExtension,0
ResponseCode_200,24
SchemaExtension_Depth_2,0
PathExtension,0
OperationExtension,0
OperationParameter,39
ParameterExtension,0
RefSchema_Depth_4,4
Component,19
HeaderComponent,0
ServerExtension,0
Encoding,0
Example,0
RefSchema_Depth_1,7
Enum_Depth_2,0
Properties_Depth_2,804
MediaTypeExtension,0
SecurityScheme_Type_apiKey,2
SchemaExtension_Depth_1,0
Items_Depth_2,9
NullableSchema_Depth_3,91
Operation,24
SchemaType_integer,506
Items_Depth_1,33
SchemaExtension_Depth_3,0
Link,0
NullableSchema_Depth_4,18
LinkComponent,0
path_Parameter,39
Properties_Depth_1,454
ResponseHeader,0
RefSchema_Depth_2,39
RefSchema_Depth_3,9
Properties_Depth_5,20
SchemaExtension_Depth_5,0
ExampleComponent,0
SecurityScheme_In_header,1
GlobalExtension,0
Tag,0
RequiredParameter,39
SchemaType_number,176
ResponseLink,0
ParameterComponent,0
ServerVariable,0
Enum_Depth_3,0
Properties_Depth_4,38
GlobalSecurity,2
Response,24
Properties_Depth_3,124
ResponseExtension,0
RequestBodyComponent,0
SecuritySchemeComponent,2
SecurityScheme_In_query,1
Server,4
Enum_Depth_1,48
ResponsesExtension,0
SchemaType_array,48
Path_Get,24
ResponseContent_application/json,24
MediaTypeEncoding,0
SchemaExtension_Depth_4,0
RefSchema_Depth_5,2
ResponseComponent,0
CallbackComponent,0
Responses,24
NullableSchema_Depth_1,360
SchemaType_boolean,48
NullableSchema_Depth_2,647
Items_Depth_4,2
SchemaType_string,712
Header,0
ResponseContent,24
Enum_Depth_4,0
SchemaComponent,17
Path,24
Enum_Depth_5,0
NullableSchema_Depth_5,10
GlobalWebhook,0
Callback,0
ComponentExtension,0
