OpenAPI feature,Count
ResponseCode_403,2
ResponseContent,23
RequiredSchema_Depth_1,8
Enum_Depth_2,0
ParameterExtension,0
MediaTypeExtension,0
RequiredParameter,6
ExternalDocExtension,0
TagExtension,0
Link,1
query_Parameter,3
path_Parameter,6
SchemaComponent,0
ResponseContent_application/json,21
SchemaType_array,8
Items_Depth_1,5
HeaderContent,0
OAuthFlow,3
SchemaType_integer,14
Enum_Depth_1,11
Properties_Depth_1,76
ResponseCode_200,25
ResponseExtension,0
MediaTypeEncoding,0
Format_audio/x-wav_Depth_1,1
LinkParameter,1
OpenIdConnectUrl,1
SecuritySchemeExtension,0
Path_Get,25
SchemaType_string,80
Properties_Depth_3,0
ResponseCode_202,1
Format_int64_Depth_1,1
OauthFlowTokenUrl,2
CallbackComponent,0
Response,41
Callback,0
RequiredRequestBody,2
LinkExtension,0
ComponentExtension,0
ServerExtension,0
Operation,30
GlobalWebhook,0
GlobalExternalDoc,1
GlobalSecurity,2
GlobalExtension,0
ResponseComponent,0
OAuthFlowExtension,0
Items_Depth_2,3
ResponseCode_201,2
Tag,20
OperationExtension,0
Server,2
PathParameter,0
SchemaType_object,37
HeaderExtension,0
Responses,30
ResponseCode_404,4
RequestBodyContent_application/json,1
ServerVariable,0
Component,3
ResponsesExtension,0
ResponseHeader,2
RequestBodyComponent,0
ExampleComponent,0
OAuthFlowAuthorizationUrl,2
Path_Post,4
SchemaExample_Depth_2,1
RefSchema_Depth_2,1
Path,26
RequestBodyContent,2
RequestBody,2
HeaderMultipleExamples,0
Path_Delete,1
HeaderComponent,0
SecurityScheme_Type_openIdConnect,1
Header,2
Example,13
SchemaExtension_Depth_3,0
LinkServer,1
ResponseLink,1
ParameterExample,1
SchemaExtension_Depth_2,0
SchemaExample_Depth_1,11
ResponseCode_410,1
SecurityScheme_Scheme_basic,1
SecurityScheme_Type_oauth2,1
OAuthFlowScopes,9
PathServer,0
RequestBodyExtension,0
SecuritySchemeComponent,3
ResponseCode_500,2
HeaderStyle_,4
ParameterComponent,0
OperationTag,30
RefSchema_Depth_1,13
RequiredSchema_Depth_2,6
RequestBodyContent_multipart/form-data,1
OperationParameter,9
ResponseCode_400,3
Properties_Depth_2,19
ResponseContent_text/xml,2
SecurityScheme_Type_http,1
OAuthFlowRefreshUrl,2
PathExtension,0
SchemaExtension_Depth_1,0
Enum_Depth_3,0
Encoding,0
OAuthFlowsExtension,0
LinkComponent,0
ResponseCode_302,1
LinkOperationId,1
