OpenAPI feature,Count
ResponseExtension,0
MediaTypeExtension,0
ServerExtension,0
Format_float_Depth_1,21
RequestBody,4
RequestBodyExtension,0
Items_Depth_1,5
ResponseCode_404,1
ResponseCode_500,1
SchemaExtension_Depth_1,0
ResponseContent,0
PathParameter,0
Path_Post,4
RequestBodyContent,4
Properties_Depth_2,24
ResponseCode_414,1
ResponseCode_408,1
query_Parameter,169
SecuritySchemeExtension,0
ComponentExtension,0
Example,104
PathExtension,0
ExampleComponent,0
ResponseCode_400,19
RequiredParameter,68
SchemaType_integer,68
Properties_Depth_1,6
SchemaComponent,0
SecuritySchemeComponent,1
CallbackComponent,0
GlobalSecurity,1
Path,16
DeprecatedParameter,6
SchemaType_object,16
SchemaExtension_Depth_2,0
RequestBodyComponent,0
GlobalWebhook,0
Path_Get,15
path_Parameter,59
ResponsesExtension,0
ResponseLink,0
DeprecatedOperation,5
Server,1
Operation,19
OperationExtension,0
SchemaType_string,137
SchemaType_number,27
GlobalExtension,0
ResponseCode_5XX,18
RequestBodyContent_application/json,4
SchemaExample_Depth_1,4
SchemaType_array,7
SchemaExtension_Depth_3,0
Enum_Depth_1,160
ResponseCode_200,19
Callback,0
Enum_Depth_2,0
ResponseCode_503,1
Component,37
ParameterComponent,30
OperationTag,19
ParameterExample,96
SchemaType_boolean,14
PathServer,0
Format_float_Depth_2,6
SecurityScheme_Type_apiKey,1
ServerVariable,0
ResponseCode_596,19
Header,0
ResponseCode_405,19
MediaTypeExample,4
Minimum_Depth_1,7
ResponseCode_504,1
Enum_Depth_3,0
Encoding,0
Properties_Depth_3,0
ResponseCode_403,19
Link,0
ParameterExtension,0
Maximum_Depth_1,31
Response,120
MediaTypeEncoding,0
ResponseCode_502,1
Items_Depth_2,2
ResponseComponent,6
Tag,0
SecurityScheme_In_query,1
HeaderComponent,0
Responses,19
ResponseHeader,0
LinkComponent,0
OperationParameter,198
