OpenAPI feature,Count
GlobalExtension,0
Path,2
query_Parameter,4
Enum_Depth_1,0
Example,8
SchemaType_string,4
SchemaExample_Depth_1,4
ResponseLink,0
ServerExtension,0
ResponseHeader,0
GlobalWebhook,0
OperationExtension,0
Schema_Depth_1,4
SchemaExtension_Depth_1,0
ParameterExtension,0
ResponsesExtension,0
Path_Get,2
ParameterExample,4
PathParameter,0
PathExtension,0
Properties_Depth_1,0
Responses,2
Link,0
Callback,0
Operation,2
OperationParameter,4
Encoding,0
Response,2
ResponseCode_200,2
ResponseContent,0
PathServer,0
Server,1
ServerVariable,0
Tag,0
Header,0
ResponseExtension,0
