OpenAPI feature,Count
ParameterComponent,0
ServerVariable,0
ServerExtension,0
Enum_Depth_1,38
MaxLength_Depth_1,40
Responses,22
SchemaExtension_Depth_2,0
MaxLength_Depth_2,6
ComponentExtension,0
PathParameter,0
RequiredParameter,21
Properties_Depth_1,184
NullableSchema_Depth_2,32
ResponseLink,0
Callback,0
LinkComponent,0
PathExtension,14
SchemaType_string,189
RequestBodyExtension,0
Minimum_Depth_1,5
Format_date-time_Depth_2,7
Component,11
ExampleComponent,0
Schema_Depth_1,250
MinLength_Depth_1,40
RequestBodyComponent,0
Path,14
Properties_Depth_2,34
SchemaType_boolean,1
SchemaType_array,6
Encoding,0
SchemaExtension_Depth_1,0
ResponsesExtension,0
SchemaType_object,59
RefSchema_Depth_1,23
Format_uri_Depth_1,40
Path_Post,8
Pattern_Depth_2,6
GlobalWebhook,0
Tag,0
PathServer,14
Pattern_Depth_1,40
RequiredSchema_Depth_1,9
Enum_Depth_2,7
ResponseCode_201,5
SecurityScheme_Scheme_basic,1
Link,0
Schema_Depth_2,40
RefSchema_Depth_2,7
Format_uri-map_Depth_2,3
SecurityScheme_Type_http,1
NullableSchema_Depth_1,128
MediaTypeEncoding,0
SchemaType_integer,28
SecuritySchemeExtension,0
Server,15
path_Parameter,21
MediaTypeExtension,0
RequestBodyContent,7
ResponseCode_200,14
ResponseHeader,0
ResponseContent,19
Format_date-time_Depth_1,24
ResponseCode_204,3
Items_Depth_1,6
MinLength_Depth_2,6
Path_Get,11
Operation,22
OperationExtension,22
Response,22
Maximum_Depth_1,5
SchemaComponent,10
ResponseComponent,0
GlobalExtension,1
Example,0
ResponseExtension,0
RequestBody,7
Path_Delete,3
HeaderComponent,0
CallbackComponent,0
OperationParameter,30
Format_uri-map_Depth_1,12
RequestBodyContent_application/x-www-form-urlencoded,7
query_Parameter,9
ParameterExtension,0
Header,0
ResponseContent_application/json,19
Format_uri_Depth_2,6
SecuritySchemeComponent,1
