OpenAPI feature,Count
RequestBodyExtension,0
ComponentExtension,0
OperationExtension,41
path_Parameter,41
SchemaType_object,90
Enum_Depth_2,54
SchemaExtension_Depth_3,0
Properties_Depth_1,732
Items_Depth_1,58
MinLength_Depth_2,33
Server,23
ServerExtension,0
Tag,0
Path_Get,21
MaxLength_Depth_1,163
Component,22
Pattern_Depth_2,33
Format_phone-number_Depth_2,2
ResponseLink,0
Link,0
Format_phone-number_Depth_1,9
ResponseCode_204,6
Format_http-method_Depth_1,12
OperationParameter,54
Pattern_Depth_1,163
ResponseCode_200,23
Header,0
PathParameter,0
ResponseCode_201,11
Format_uri-map_Depth_1,8
Format_date_Depth_1,1
Encoding,0
SchemaType_integer,36
ResponsesExtension,0
SchemaType_array,68
ResponseExtension,0
SecurityScheme_Scheme_basic,1
Callback,0
ResponseCode_202,2
GlobalExtension,1
ResponseContent,37
Enum_Depth_3,5
RequestBodyContent,13
SecuritySchemeExtension,0
SchemaComponent,21
ExampleComponent,0
SchemaType_string,754
query_Parameter,13
NullableSchema_Depth_1,549
RequestBodyContent_application/x-www-form-urlencoded,13
RefSchema_Depth_3,1
GlobalWebhook,0
RequiredParameter,41
SchemaExtension_Depth_1,0
Responses,41
Items_Depth_2,10
ResponseComponent,0
ParameterComponent,0
SecuritySchemeComponent,1
CallbackComponent,0
Enum_Depth_1,208
Response,43
MaxLength_Depth_2,33
Path_Post,14
RequestBody,13
SecurityScheme_Type_http,1
LinkComponent,0
MinLength_Depth_1,163
Minimum_Depth_1,8
Format_uri_Depth_1,101
Properties_Depth_2,134
RequestBodyComponent,0
ResponseCode_307,1
HeaderComponent,0
Example,0
ResponseContent_application/json,37
SchemaExtension_Depth_2,0
Format_date-time_Depth_2,16
PathExtension,22
Operation,41
ParameterExtension,0
RequiredSchema_Depth_1,28
Format_date-time_Depth_1,76
Format_uri-map_Depth_2,2
ServerVariable,0
Path,22
Format_uri_Depth_2,11
Path_Delete,6
ResponseHeader,0
RefSchema_Depth_2,18
Properties_Depth_3,0
MediaTypeExtension,0
MediaTypeEncoding,0
Maximum_Depth_1,8
NullableSchema_Depth_2,128
PathServer,22
SchemaType_boolean,98
RefSchema_Depth_1,59
Format_http-method_Depth_2,2
