OpenAPI feature,Count
ParameterExtension,0
ResponseHeader,0
NullableSchema_Depth_2,29
Format_http-method_Depth_2,1
SchemaType_string,125
Enum_Depth_2,6
Format_uri-map_Depth_2,1
SchemaComponent,3
GlobalWebhook,0
SchemaType_object,14
OperationParameter,13
MediaTypeExtension,0
Link,0
GlobalExtension,1
ResponseContent,4
MaxLength_Depth_2,8
Pattern_Depth_2,8
MediaTypeEncoding,0
path_Parameter,2
ResponseComponent,0
ExampleComponent,0
Maximum_Depth_1,2
SecurityScheme_Scheme_basic,1
Format_date-time_Depth_1,15
Responses,4
Component,4
Path,4
OperationExtension,4
Response,4
PathParameter,0
ServerVariable,0
Operation,4
SchemaType_array,2
PathServer,4
RequiredParameter,2
SecurityScheme_Type_http,1
ServerExtension,0
Properties_Depth_1,99
RefSchema_Depth_2,2
Format_date-time_Depth_2,4
CallbackComponent,0
Tag,0
SchemaType_integer,6
PathExtension,4
RefSchema_Depth_1,2
HeaderComponent,0
SecuritySchemeExtension,0
Server,5
ResponsesExtension,0
Header,0
ResponseContent_application/json,4
Properties_Depth_2,29
MinLength_Depth_2,8
SchemaExtension_Depth_2,0
Format_uri_Depth_1,13
MaxLength_Depth_1,24
ResponseExtension,0
Format_http-method_Depth_1,3
NullableSchema_Depth_1,85
Example,0
ParameterComponent,0
SchemaExtension_Depth_1,0
Minimum_Depth_1,2
query_Parameter,11
Format_uri_Depth_2,2
LinkComponent,0
ComponentExtension,0
MinLength_Depth_1,24
Enum_Depth_1,18
Pattern_Depth_1,24
Items_Depth_1,2
ResponseLink,0
Callback,0
SecuritySchemeComponent,1
Encoding,0
Schema_Depth_1,119
ResponseCode_200,4
Schema_Depth_2,31
Format_uri-map_Depth_1,2
RequestBodyComponent,0
Path_Get,4
