OpenAPI feature,Count
ResponseContent_application/json,122
Format_http-method_Depth_2,4
MinLength_Depth_1,482
SchemaType_boolean,133
ResponseComponent,0
Path,71
OperationParameter,298
RequestBodyContent,52
ParameterComponent,0
Format_uri_Depth_1,300
Format_date-time_Depth_2,53
path_Parameter,224
Pattern_Depth_1,482
GlobalWebhook,0
Encoding,0
ResponseHeader,0
Enum_Depth_1,304
SchemaType_integer,139
ResponseExtension,0
PathExtension,71
RequestBody,52
Format_date-time_Depth_1,194
GlobalExtension,1
ServerVariable,0
Format_phone-number-capabilities_Depth_2,2
Format_phone-number_Depth_2,2
Maximum_Depth_1,32
ResponseContent,122
Enum_Depth_2,56
PathParameter,0
MaxLength_Depth_1,482
Format_phone-number_Depth_1,8
Path_Get,70
Example,0
RequestBodyContent_application/x-www-form-urlencoded,52
Properties_Depth_3,0
query_Parameter,69
Format_uri_Depth_2,39
Minimum_Depth_1,32
ResponseLink,0
Component,50
HeaderComponent,0
Properties_Depth_1,1775
ParameterExtension,0
NullableSchema_Depth_2,340
Pattern_Depth_2,101
RequiredParameter,224
Path_Delete,25
Enum_Depth_3,0
SchemaExtension_Depth_3,0
ServerExtension,0
Properties_Depth_2,354
RequestBodyComponent,0
LinkComponent,0
Operation,147
RequiredSchema_Depth_1,37
OperationExtension,147
ComponentExtension,0
Callback,0
PathServer,71
Response,147
MinLength_Depth_2,101
ResponseCode_201,24
SchemaComponent,49
ExampleComponent,0
SecurityScheme_Scheme_basic,1
MaxLength_Depth_2,101
ResponseCode_204,25
RefSchema_Depth_2,38
SchemaExtension_Depth_2,0
SecuritySchemeExtension,0
CallbackComponent,0
ResponsesExtension,0
SchemaType_array,63
Format_uri-map_Depth_2,12
MediaTypeExtension,0
MediaTypeEncoding,0
Link,0
Path_Post,52
Format_uri-map_Depth_1,43
SchemaType_string,1967
Items_Depth_1,57
SecuritySchemeComponent,1
SecurityScheme_Type_http,1
Format_http-method_Depth_1,20
Format_phone-number-capabilities_Depth_1,5
SchemaExtension_Depth_1,0
Responses,147
ResponseCode_200,98
Server,72
Tag,0
NullableSchema_Depth_1,1326
RefSchema_Depth_1,119
RequestBodyExtension,0
Items_Depth_2,6
header_Parameter,5
Header,0
SchemaType_object,339
