OpenAPI feature,Count
ServerVariable,0
Link,0
Format_date-time_Depth_1,28
ResponseContent_application/json,17
RefSchema_Depth_2,8
RequestBody,3
ExampleComponent,0
Tag,0
ResponsesExtension,0
ResponseContent,17
MinLength_Depth_2,18
Format_uri_Depth_2,5
ParameterComponent,0
Format_uri-map_Depth_2,5
SchemaType_string,269
Pattern_Depth_1,112
Maximum_Depth_1,5
ResponseHeader,0
SchemaType_object,57
Pattern_Depth_2,18
ParameterExtension,0
SchemaType_integer,18
Schema_Depth_2,60
Path_Delete,3
Enum_Depth_2,6
ResponseLink,0
Callback,0
ComponentExtension,0
GlobalWebhook,0
NullableSchema_Depth_2,52
MediaTypeEncoding,0
Path_Post,3
SchemaComponent,12
HeaderComponent,0
CallbackComponent,0
Path_Get,14
Encoding,0
ResponseExtension,0
SecuritySchemeComponent,1
OperationParameter,43
path_Parameter,36
RequiredParameter,36
Properties_Depth_2,55
SecuritySchemeExtension,0
SecurityScheme_Scheme_basic,1
Responses,20
RequestBodyExtension,0
ResponseCode_201,2
RefSchema_Depth_1,22
ResponseCode_204,3
Component,13
Enum_Depth_1,26
Properties_Depth_1,239
SecurityScheme_Type_http,1
GlobalExtension,1
ServerExtension,0
OperationExtension,20
SchemaExtension_Depth_1,0
RequestBodyContent_application/x-www-form-urlencoded,3
PathParameter,0
MaxLength_Depth_1,112
ResponseCode_200,15
SchemaExtension_Depth_2,0
PathServer,14
Format_uri-map_Depth_1,13
LinkComponent,0
Operation,20
Schema_Depth_1,314
Header,0
Items_Depth_1,5
MaxLength_Depth_2,18
Format_date-time_Depth_2,10
RequiredSchema_Depth_1,5
Format_phone-number_Depth_1,4
Server,15
Path,14
MinLength_Depth_1,112
Example,0
SchemaType_array,5
Format_uri_Depth_1,41
PathExtension,14
ResponseComponent,0
RequestBodyComponent,0
query_Parameter,7
Minimum_Depth_1,5
Response,20
NullableSchema_Depth_1,188
MediaTypeExtension,0
RequestBodyContent,3
