OpenAPI feature,Count
Pattern_Depth_2,51
Path_Post,17
Format_int64_Depth_1,2
SchemaType_string,1065
MaxLength_Depth_1,368
ResponsesExtension,0
PathExtension,36
ExampleComponent,0
HeaderComponent,0
RequestBodyExtension,0
RequestBodyContent,17
Format_uri-map_Depth_1,34
RequiredSchema_Depth_1,8
ResponseCode_201,7
Format_date-time_Depth_1,122
Encoding,0
Enum_Depth_1,248
Example,0
Enum_Depth_2,48
RequestBodyContent_application/x-www-form-urlencoded,17
ResponseComponent,0
Pattern_Depth_1,368
Responses,60
Format_date-time_Depth_2,23
Header,0
Items_Depth_1,27
ParameterComponent,0
SecurityScheme_Type_http,1
Path_Get,36
Properties_Depth_1,1087
ResponseCode_200,46
Format_uri_Depth_2,16
MediaTypeExtension,0
SecuritySchemeExtension,0
Path,36
RequiredParameter,99
Minimum_Depth_1,12
Link,0
header_Parameter,6
SchemaComponent,35
Server,37
SchemaType_integer,214
NullableSchema_Depth_2,148
Response,60
Format_uri_Depth_1,153
PathParameter,0
RequestBodyComponent,0
LinkComponent,0
ResponseHeader,0
SchemaType_object,162
MinLength_Depth_2,51
Format_http-method_Depth_1,10
OperationExtension,60
SchemaExtension_Depth_1,0
SchemaType_array,27
OperationParameter,211
Maximum_Depth_1,12
ResponseContent,53
MaxLength_Depth_2,51
MediaTypeEncoding,0
GlobalExtension,1
ServerVariable,0
Tag,0
Format_int64_Depth_2,1
Callback,0
RequestBody,17
ResponseCode_204,7
SchemaExtension_Depth_2,0
SchemaType_boolean,50
ResponseExtension,0
ResponseLink,0
PathServer,36
path_Parameter,99
ResponseContent_application/json,53
RefSchema_Depth_2,21
SecurityScheme_Scheme_basic,1
Format_uri-map_Depth_2,9
NullableSchema_Depth_1,818
RefSchema_Depth_1,69
Component,36
SecuritySchemeComponent,1
ServerExtension,0
ParameterExtension,0
query_Parameter,106
ComponentExtension,0
GlobalWebhook,0
Operation,60
Path_Delete,7
CallbackComponent,0
MinLength_Depth_1,368
Properties_Depth_2,153
