OpenAPI feature,Count
ServerVariable,0
RefSchema_Depth_2,18
Format_date-time_Depth_1,58
path_Parameter,47
ResponseContent_application/json,40
SecurityScheme_Type_http,1
SecuritySchemeExtension,0
GlobalExtension,1
OperationExtension,48
query_Parameter,23
RefSchema_Depth_1,49
MinLength_Depth_1,175
CallbackComponent,0
MaxLength_Depth_2,37
SchemaExtension_Depth_2,0
RequiredParameter,47
ServerExtension,0
ParameterExtension,0
ResponseHeader,0
ResponseContent,40
SchemaType_array,27
ResponseComponent,0
HeaderComponent,0
PathParameter,0
Component,22
Path,26
Items_Depth_1,23
Pattern_Depth_2,37
Format_date-time_Depth_2,16
ResponseLink,0
SchemaComponent,21
SchemaType_object,103
MediaTypeEncoding,0
RequestBodyExtension,0
RequiredSchema_Depth_1,18
Items_Depth_2,4
Link,0
ResponseCode_204,8
ComponentExtension,0
Server,27
NullableSchema_Depth_2,93
ResponseExtension,0
PathServer,26
LinkComponent,0
Properties_Depth_1,473
Minimum_Depth_1,13
Format_uri_Depth_1,104
ResponseCode_201,10
RequestBodyComponent,0
Encoding,0
Enum_Depth_2,20
Format_uri-map_Depth_1,8
SchemaExtension_Depth_3,0
ExampleComponent,0
SecuritySchemeComponent,1
Tag,0
SchemaType_string,543
MaxLength_Depth_1,175
SchemaType_integer,39
Properties_Depth_3,0
ParameterComponent,0
Example,0
Pattern_Depth_1,175
Maximum_Depth_1,13
Callback,0
RequestBodyContent,14
RequestBody,14
GlobalWebhook,0
Path_Get,26
Schema_Depth_1,618
Enum_Depth_1,122
Response,48
Properties_Depth_2,98
Format_uri-map_Depth_2,2
RequestBodyContent_application/x-www-form-urlencoded,14
PathExtension,26
SchemaExtension_Depth_1,0
ResponsesExtension,0
ResponseCode_200,30
Header,0
Schema_Depth_2,121
Enum_Depth_3,0
Responses,48
NullableSchema_Depth_1,330
MinLength_Depth_2,37
Format_uri_Depth_2,15
MediaTypeExtension,0
OperationParameter,70
Schema_Depth_3,4
SecurityScheme_Scheme_basic,1
Operation,48
Path_Post,14
Path_Delete,8
