OpenAPI feature,Count
SchemaExample_Depth_3,3
SchemaType_boolean,4
PathServer,0
path_Parameter,1
Component,3
SchemaExtension_Depth_1,0
Example,102
ParameterExtension,0
SecuritySchemeExtension,0
GlobalWebhook,0
SchemaExample_Depth_1,64
RefSchema_Depth_2,1
Items_Depth_2,2
RequestBodyComponent,0
HeaderComponent,0
ResponseCode_429,2
Items_Depth_1,10
Enum_Depth_2,0
ExampleComponent,0
ComponentExtension,0
Header,0
ResponseCode_404,1
ParameterComponent,0
Encoding,0
Enum_Depth_1,0
Format_date-time_Depth_2,1
ResponseLink,0
SchemaType_array,12
SchemaExtension_Depth_2,0
Enum_Depth_3,0
Server,2
query_Parameter,1
Response,7
Responses,2
Properties_Depth_3,2
SchemaExtension_Depth_3,0
RequiredParameter,1
Format_date-time_Depth_1,5
OperationExtension,0
OperationTag,2
SchemaType_string,91
PathParameter,0
PathExtension,0
NullableSchema_Depth_1,43
Path_Get,2
ResponseExtension,0
Format_date_Depth_2,5
SecurityScheme_Type_apiKey,1
ResponseCode_401,2
NullableSchema_Depth_2,13
ParameterExample,1
Link,0
Path,2
Properties_Depth_1,75
ResponseHeader,0
Callback,0
Tag,0
ResponseContent,7
MediaTypeEncoding,0
OperationParameter,2
ResponseCode_200,2
Properties_Depth_2,33
ResponseComponent,0
SecurityScheme_In_header,1
LinkComponent,0
CallbackComponent,0
ServerVariable,2
Operation,2
RefSchema_Depth_1,1
ResponseContent_application/json,7
MediaTypeExtension,0
SchemaType_object,3
SchemaExample_Depth_2,34
GlobalExtension,0
ServerExtension,0
ResponsesExtension,0
SchemaComponent,2
SecuritySchemeComponent,1
RequiredSchema_Depth_1,3
SchemaType_integer,4
Format_date_Depth_1,7
