OpenAPI feature,Count
ResponseExtension,0
SchemaType_integer,1
MediaTypeEncoding,0
ResponsesExtension,0
ResponseCode_200,1
ResponseHeader,0
ResponseCode_400,1
Callback,0
PathExtension,0
ResponseComponent,0
Properties_Depth_1,31
SchemaType_object,11
MediaTypeExtension,0
Responses,1
SecuritySchemeComponent,0
ComponentExtension,0
GlobalExtension,0
TagExtension,0
ResponseContent,2
Server,1
Operation,1
PathParameter,0
GlobalWebhook,0
OperationTag,1
ParameterExtension,0
RequiredSchema_Depth_1,6
Encoding,0
Items_Depth_1,2
ResponseCode_201,1
ResponseCode_403,1
Tag,1
OperationExtension,0
SchemaExtension_Depth_2,0
ExampleComponent,0
LinkComponent,0
Enum_Depth_1,68
RequestBodyExtension,0
Enum_Depth_2,0
Format_int32_Depth_1,1
header_Parameter,3
Header,0
ResponseContent_application/json,2
RequestBodyComponent,0
ServerVariable,0
Path_Post,1
RefSchema_Depth_1,3
ResponseCode_404,1
ServerExtension,0
RequiredParameter,3
Example,0
SchemaComponent,5
SchemaExtension_Depth_1,0
RequiredRequestBody,1
SchemaType_number,5
Properties_Depth_2,16
RefSchema_Depth_2,2
Link,0
PathServer,0
HeaderComponent,0
RequestBody,1
RequestBodyContent,1
Response,6
ParameterComponent,0
OperationParameter,3
SchemaType_array,2
ResponseCode_401,1
CallbackComponent,0
Component,5
Path,1
SchemaType_string,41
RequestBodyContent_application/json,1
ResponseLink,0
