OpenAPI feature,Count
ParameterExtension,0
RequiredRequestBody,1
RequestBodyContent_application/json,1
RefSchema_Depth_1,3
SchemaType_number,5
Properties_Depth_2,16
SchemaComponent,5
Format_int32_Depth_1,1
RequestBody,1
CallbackComponent,0
Items_Depth_1,2
ResponseCode_400,1
ParameterComponent,0
GlobalWebhook,0
ResponseLink,0
RequestBodyExtension,0
Responses,1
ResponsesExtension,0
RequestBodyComponent,0
Encoding,0
Path_Post,1
PathParameter,0
LinkComponent,0
Path,1
ResponseCode_404,1
PathServer,0
PathExtension,0
HeaderComponent,0
Tag,1
ServerExtension,0
OperationTag,1
RefSchema_Depth_2,2
ComponentExtension,0
ServerVariable,0
Response,6
ResponseCode_200,1
Callback,0
SchemaExtension_Depth_1,0
SchemaType_array,2
SchemaType_integer,1
ExampleComponent,0
Header,0
ResponseHeader,0
ResponseCode_401,1
ResponseCode_403,1
TagExtension,0
ResponseContent,2
ResponseExtension,0
ResponseCode_201,1
MediaTypeExtension,0
header_Parameter,4
MediaTypeEncoding,0
Schema_Depth_2,18
SchemaExtension_Depth_2,0
SecuritySchemeComponent,0
Server,1
OperationExtension,0
OperationParameter,4
Schema_Depth_1,41
SchemaType_string,40
Enum_Depth_1,68
SchemaType_object,11
Enum_Depth_2,0
Operation,1
Properties_Depth_1,29
RequestBodyContent,1
Link,0
RequiredParameter,3
Example,0
RequiredSchema_Depth_1,8
GlobalExtension,0
Component,5
ResponseComponent,0
ResponseContent_application/json,2
