OpenAPI feature,Count
ResponseExtension,0
ResponseCode_404,1
ParameterComponent,1
PathServer,0
ServerExtension,0
Enum_Depth_2,0
SchemaExample_Depth_4,6
RefSchema_Depth_3,10
SchemaExample_Depth_2,29
RequestBodyComponent,0
SecuritySchemeComponent,1
OperationExtension,0
SchemaType_string,114
Enum_Depth_1,0
Example,102
Response,4
Items_Depth_1,14
SecurityScheme_Scheme_bearer,1
GlobalExtension,0
path_Parameter,4
ParameterExample,9
Path_Get,2
ResponseHeader,0
ExampleComponent,0
Items_Depth_3,3
PathParameter,0
ResponseComponent,0
HeaderComponent,0
SecuritySchemeExtension,0
ResponsesExtension,0
RefSchema_Depth_2,14
Properties_Depth_2,43
ComponentExtension,0
Properties_Depth_1,123
Enum_Depth_4,0
SecurityScheme_Type_http,1
CallbackComponent,0
query_Parameter,6
SchemaType_object,79
RefSchema_Depth_4,3
ResponseContent,4
ResponseContent_application/json,4
SchemaType_array,27
Server,1
Tag,0
Path,2
SchemaType_number,30
ResponseCode_200,2
SchemaExample_Depth_1,41
Link,0
RequiredParameter,4
Encoding,0
SchemaExtension_Depth_1,0
OperationParameter,9
Properties_Depth_4,6
SchemaExtension_Depth_4,0
Properties_Depth_3,20
PathExtension,0
Operation,2
RefSchema_Depth_1,35
SchemaExtension_Depth_2,0
ServerVariable,0
SchemaExtension_Depth_3,0
MediaTypeEncoding,0
ResponseCode_400,1
Responses,2
Header,0
MediaTypeExtension,0
ResponseLink,0
Component,19
SchemaComponent,17
BearerFormat,1
LinkComponent,0
ParameterExtension,0
Enum_Depth_3,0
SchemaExample_Depth_3,17
Items_Depth_2,10
Callback,0
GlobalWebhook,0
