OpenAPI feature,Count
header_Parameter,42
SchemaType_object,127
Responses,7
Items_Depth_2,12
Properties_Depth_4,16
ParameterComponent,7
SecurityScheme_Scheme_basic,1
Server,2
ResponseCode_200,7
RequestBodyExtension,0
RequiredParameter,47
MediaTypeEncoding,0
ResponseExtension,0
RequestBodyContent_application/xml,1
path_Parameter,2
RequiredSchema_Depth_3,16
Format_int32_Depth_3,6
Path,5
Format_int32_Depth_2,2
ExampleComponent,0
LinkComponent,0
SchemaComponent,22
OperationExtension,0
Format_binary_Depth_1,1
ResponseContent,10
ResponseLink,0
Path_Put,2
SecuritySchemeComponent,1
GlobalExtension,0
ResponsesExtension,0
Path_Get,4
SecuritySchemeExtension,0
Response,7
SchemaExtension_Depth_1,0
RequiredRequestBody,3
RequestBodyContent,4
Properties_Depth_3,73
Items_Depth_3,4
HeaderComponent,0
GlobalWebhook,0
OperationTag,7
ExampleExtension,0
MediaTypeExtension,0
Callback,0
SchemaType_number,31
XMLSchema_Depth_2,5
Enum_Depth_1,20
ParameterExtension,0
MediaTypeExample,13
XMLSchema_Depth_1,13
Format_int32_Depth_1,11
query_Parameter,14
Properties_Depth_1,124
Header,0
XMLExtension,0
RequestBodyContent_application/json,2
AdditionalProperties_Depth_3,4
ComponentExtension,0
Tag,0
SchemaExtension_Depth_2,0
Enum_Depth_3,34
XMLWrapped,7
SchemaExtension_Depth_4,0
SecurityScheme_Type_http,1
Enum_Depth_2,23
ResponseContent_application/xml,3
Link,0
Items_Depth_1,18
Properties_Depth_2,77
CallbackComponent,0
OperationParameter,51
Example,49
ParameterExample,34
PathParameter,0
RequiredSchema_Depth_2,26
SchemaType_integer,19
RequestBodyComponent,0
GlobalSecurity,1
SchemaType_string,214
AdditionalProperties_Depth_1,1
ResponseComponent,0
RequestBody,3
PathExtension,0
RequiredSchema_Depth_1,48
XMLSchema_Depth_3,10
Enum_Depth_4,0
ResponseHeader,0
Operation,7
Encoding,0
RequestBodyContent_multipart/form-data,1
PathServer,0
AdditionalProperties_Depth_2,2
Path_Post,1
ServerExtension,0
ResponseContent_application/json,7
SchemaType_array,34
SchemaExtension_Depth_3,0
XMLSchema_Depth_4,4
Component,30
ServerVariable,0
