OpenAPI feature,Count
Tag,0
Path_Put,1
RequiredSchema_Depth_1,7
ResponseCode_200,3
Enum_Depth_3,0
SchemaExtension_Depth_3,0
ComponentExtension,0
PathParameter,0
RequiredParameter,19
Enum_Depth_1,32
RequestBodyContent,3
Format_double_Depth_2,4
ResponsesExtension,0
AdditionalProperties_Depth_2,3
Format_int32_Depth_1,3
ExampleExtension,0
ServerExtension,0
Items_Depth_1,6
XMLSchema_Depth_2,7
ResponseExtension,0
ExternalDocExtension,0
GlobalExtension,0
OperationParameter,16
SchemaExtension_Depth_1,0
ResponseContent_application/json,3
XMLWrapped,4
Properties_Depth_3,12
GlobalWebhook,0
Server,2
Encoding,0
RequestBody,3
Header,0
XMLSchema_Depth_1,18
query_Parameter,1
RequestBodyContent_multipart/form-data,1
Format_date-time_Depth_2,4
ResponseHeader,0
XMLExtension,0
ResponseLink,0
SchemaComponent,10
ServerVariable,0
Items_Depth_2,3
Enum_Depth_2,54
PathServer,0
Format_date-time_Depth_1,2
ResponseComponent,0
RequestBodyComponent,0
HeaderComponent,0
LinkComponent,0
SecurityScheme_Type_http,1
header_Parameter,22
RequiredRequestBody,3
Properties_Depth_2,66
MediaTypeExtension,0
MediaTypeEncoding,0
Format_binary_Depth_1,1
Component,18
OperationExtension,0
SchemaType_object,51
SchemaType_array,9
SecuritySchemeExtension,0
CallbackComponent,0
ParameterExample,18
ParameterExtension,0
SchemaType_number,8
SchemaExtension_Depth_2,0
XMLSchema_Depth_3,3
OperationExternalDoc,1
AdditionalProperties_Depth_1,1
Path,3
Operation,3
Example,25
RequestBodyContent_application/json,2
Link,0
ExampleComponent,0
GlobalSecurity,1
SecuritySchemeComponent,1
SchemaType_string,133
RequiredSchema_Depth_2,7
MediaTypeExample,5
Response,3
SchemaType_integer,3
Callback,0
Format_double_Depth_1,4
Path_Post,2
ParameterComponent,7
OperationTag,3
ResponseContent_application/xml,2
PathExtension,0
SchemaType_boolean,8
SecurityScheme_Scheme_basic,1
Properties_Depth_1,80
RequestBodyExtension,0
Responses,3
ResponseContent,5
