OpenAPI feature,Count
SchemaType_array,186
ResponseCode_500,44
Server,1
path_Parameter,24
SecurityScheme_In_header,2
ReadOnlySchema_Depth_1,295
PathParameter,0
Format_date-time_Depth_2,33
Enum_Depth_2,851
Path_Patch,4
Format_date-time_Depth_3,2
SecurityScheme_Type_apiKey,3
ResponseCode_200,34
ResponsesExtension,0
ResponseHeader,0
ResponseExtension,0
PathExtension,0
ParameterComponent,0
ComponentExtension,0
RequiredSchema_Depth_2,430
Path_Post,13
SchemaType_boolean,44
Enum_Depth_3,38
ServerVariable,0
RequiredSchema_Depth_1,831
Properties_Depth_2,870
ResponseComponent,10
SchemaType_object,204
header_Parameter,43
Format_date-time_Depth_1,79
Responses,44
Header,0
SchemaExample_Depth_1,508
MinLength_Depth_2,24
MediaTypeExample,3
HeaderComponent,0
RequiredParameter,67
ResponseContent_application/json,318
RequiredRequestBody,9
Tag,16
SchemaExtension_Depth_3,0
ServerExtension,0
Format_uuid_Depth_1,21
ResponseCode_201,10
CallbackComponent,0
Link,0
SchemaType_string,2533
Example,637
RequestBodyExtension,0
ResponseCode_401,43
MaxLength_Depth_1,180
OperationTag,44
SchemaType_number,14
query_Parameter,36
Properties_Depth_3,105
GlobalWebhook,0
TagExtension,0
NullableSchema_Depth_2,12
SecuritySchemeComponent,3
Path,37
PathServer,0
Response,310
ResponseLink,0
SchemaExample_Depth_2,125
Pattern_Depth_2,2
LinkComponent,0
MediaTypeEncoding,0
Component,85
ReadOnlySchema_Depth_2,193
MediaTypeExtension,0
ResponseCode_403,44
ResponseCode_404,39
Encoding,0
Format_date_Depth_1,2
MaxLength_Depth_2,66
RequestBodyContent,17
Callback,0
RequiredSchema_Depth_3,55
SchemaComponent,72
Properties_Depth_1,1784
SchemaType_integer,41
SecurityScheme_In_query,1
SchemaExtension_Depth_2,0
RequestBodyContent_application/json,17
ResponseContent,318
Path_Get,27
Items_Depth_2,39
Format_date_Depth_2,2
Operation,44
SecuritySchemeExtension,0
SchemaExtension_Depth_1,0
MinLength_Depth_1,51
RequestBody,17
Pattern_Depth_1,8
Items_Depth_1,147
ResponseCode_429,44
SchemaExample_Depth_3,1
OperationExtension,44
ParameterExtension,0
ResponseCode_409,20
OperationParameter,103
NullableSchema_Depth_1,85
ResponseCode_400,32
Enum_Depth_1,835
ReadOnlySchema_Depth_3,15
ExampleComponent,0
RequestBodyComponent,0
GlobalExtension,0
