OpenAPI feature,Count
ResponseCode_202,2
HeaderComponent,0
Encoding,0
ResponseExtension,0
PathParameter,0
RefSchema_Depth_4,10
ResponseCode_204,1
SchemaType_integer,132
CallbackComponent,0
Server,1
OperationParameter,39
ResponseCode_400,3
PathExtension,0
RequiredSchema_Depth_2,92
Items_Depth_1,45
Pattern_Depth_2,19
RequiredSchema_Depth_1,59
RequiredParameter,28
ResponsesExtension,0
ResponseContent_application/json,13
RefSchema_Depth_1,20
SchemaType_array,66
Properties_Depth_4,97
SchemaType_number,83
Format_double_Depth_1,17
Responses,6
Enum_Depth_3,0
Items_Depth_3,7
Enum_Depth_1,0
Enum_Depth_2,0
Callback,0
Items_Depth_2,14
RequiredRequestBody,3
ResponseComponent,0
ServerVariable,0
SchemaType_string,339
RefSchema_Depth_2,37
SchemaExtension_Depth_2,16
Properties_Depth_3,90
Path,6
path_Parameter,2
ParameterStyle_form,15
GlobalWebhook,0
GlobalExtension,2
ParameterExtension,38
ResponseCode_409,1
RequiredSchema_Depth_3,52
ExampleExtension,0
Enum_Depth_4,0
RequestBodyContent_application/json,3
ExampleComponent,0
Response,14
Properties_Depth_2,261
ResponseLink,0
Format_double_Depth_2,30
RefSchema_Depth_3,15
Pattern_Depth_4,12
Format_double_Depth_4,9
RequestBodyExtension,0
Tag,0
Pattern_Depth_1,40
query_Parameter,30
ResponseHeader,0
PathServer,0
Component,39
Operation,6
OperationTag,6
RequestBodyContent,3
Pattern_Depth_3,7
RequestBody,3
Path_Put,1
Header,0
ResponseContent,13
SchemaType_object,97
Link,0
RequestBodyComponent,0
LinkComponent,0
SchemaExtension_Depth_1,10
SchemaType_boolean,44
Path_Get,2
RequiredSchema_Depth_4,47
Path_Post,3
Example,6
SchemaExtension_Depth_3,6
Format_double_Depth_3,3
ParameterComponent,13
Properties_Depth_1,153
ResponseCode_200,6
ResponseCode_404,1
SchemaExtension_Depth_4,10
ComponentExtension,0
SchemaComponent,26
SecuritySchemeComponent,0
ServerExtension,0
OperationExtension,2
header_Parameter,20
MediaTypeExtension,0
MediaTypeEncoding,0
