OpenAPI feature,Count
ParameterComponent,0
OAuthFlowExtension,0
ComponentExtension,0
Path_Post,2
OperationParameter,0
RequestBodyContent,2
Enum_Depth_1,0
PathServer,0
Link,0
Operation,2
RequestBodyExtension,0
Encoding,0
LinkComponent,0
Server,2
ResponsesExtension,0
ResponseExtension,0
RequestBody,2
PathParameter,0
OAuthFlow,1
RequestBodyContent_application/json,1
MediaTypeEncoding,0
OAuthFlowAuthorizationUrl,1
GlobalExtension,0
ServerVariable,0
RequiredRequestBody,2
GlobalWebhook,0
ResponseCode_200,2
ResponseContent,0
OAuthFlowsExtension,0
SecuritySchemeExtension,0
Response,2
Header,0
SchemaComponent,0
ResponseHeader,0
ResponseLink,0
CallbackComponent,0
Component,1
OAuthFlowScopes,0
Tag,0
Path,2
Callback,0
OperationExtension,4
SchemaExtension_Depth_1,0
MediaTypeExtension,0
ExampleComponent,0
RequestBodyContent_text/xml,1
HeaderComponent,0
SecurityScheme_Type_oauth2,1
ServerExtension,0
SchemaType_string,2
PathExtension,0
ResponseComponent,0
RequestBodyComponent,0
SecuritySchemeComponent,1
Properties_Depth_1,0
Example,0
Responses,2
