OpenAPI feature,Count
SchemaType_string,1662
Example,2284
SchemaType_object,460
query_Parameter,23
Format_uuid_Depth_2,181
SchemaExample_Depth_4,6
SchemaExternalDoc_Depth_1,1
TagExtension,0
ResponseHeader,0
ResponseContent_application/json,38
ResponseLink,0
Format_double_Depth_3,401
SecuritySchemeExtension,0
Operation,29
SchemaType_number,773
MediaTypeExtension,0
Enum_Depth_4,0
ServerExtension,0
Path,16
Responses,29
RefSchema_Depth_1,86
MediaTypeEncoding,0
Items_Depth_2,185
SchemaComponent,76
HeaderComponent,0
SecurityScheme_Type_oauth2,1
CallbackComponent,0
Link,0
SchemaExample_Depth_2,1124
Format_uuid_Depth_1,63
RequiredSchema_Depth_3,68
ExampleComponent,0
OAuthFlowScopes,40
ParameterExtension,0
ResponseContent,38
PathExtension,0
ResponseComponent,0
OAuthFlowsExtension,0
ResponseExtension,0
Callback,0
RequiredRequestBody,8
Format_double_Depth_4,6
ParameterComponent,1
Enum_Depth_1,275
RequestBody,13
SchemaExternalDoc_Depth_3,39
SchemaExtension_Depth_4,0
MaxLength_Depth_1,6
GlobalExtension,0
ServerVariable,0
Items_Depth_3,6
ResponsesExtension,0
Header,0
SchemaExtension_Depth_2,418
RequestBodyContent,13
Format_double_Depth_1,64
Properties_Depth_4,0
OAuthFlowAuthorizationUrl,1
OperationExtension,7
Encoding,0
RequiredParameter,30
ParameterExample,29
Enum_Depth_2,656
Format_int32_Depth_1,3
Response,46
RequestBodyContent_application/json,13
PathParameter,16
Format_int_Depth_2,21
Component,78
MediaTypeExample,42
SchemaExternalDoc_Depth_2,8
OAuthFlowExtension,0
OperationParameter,43
header_Parameter,24
Format_integer_Depth_1,10
Format_int_Depth_1,6
OauthFlowTokenUrl,1
ComponentExtension,0
Path_Get,16
Path_Post,13
Properties_Depth_3,942
MaxLength_Depth_3,17
SchemaExample_Depth_1,323
ResponseCode_400,17
SchemaType_boolean,202
SchemaExample_Depth_3,760
SecuritySchemeComponent,1
LinkComponent,0
Server,1
Properties_Depth_2,1484
RequestBodyExtension,0
PathServer,0
ReadOnlySchema_Depth_1,19
Properties_Depth_1,494
Items_Depth_1,140
ReadOnlySchema_Depth_3,13
Tag,1
OperationTag,29
SchemaType_integer,10
Format_double_Depth_2,265
RequiredSchema_Depth_1,21
RequestBodyComponent,0
SchemaType_array,331
RequiredSchema_Depth_2,90
Format_uuid_Depth_3,141
GlobalWebhook,0
ReadOnlySchema_Depth_2,73
path_Parameter,13
MaxLength_Depth_2,34
OAuthFlow,1
SchemaExtension_Depth_1,139
RefSchema_Depth_2,315
ResponseCode_200,29
RefSchema_Depth_3,325
Enum_Depth_3,448
SchemaExtension_Depth_3,427
ExternalDocExtension,0
