OpenAPI feature,Count
SecurityScheme_Type_apiKey,1
AllOf_Depth_3,23
Format_int64_Depth_2,26
MaxItems_Depth_1,52
MinLength_Depth_2,17
ServerVariable,0
SchemaType_array,1039
ResponseCode_400,213
MaxLength_Depth_1,254
Format_double_Depth_2,10
CallbackComponent,0
TagExtension,0
RequestBodyExtension,129
Callback,0
Maximum_Depth_1,299
GlobalSecurity,1
Tag,40
SchemaExtension_Depth_1,428
OneOf_Depth_1,53
DeprecatedOperation,4
SchemaExtension_Depth_3,7
Format_date_Depth_2,10
Encoding,0
RequiredSchema_Depth_1,361
AllowEmptyValueParameter,6
ResponseCode_300,72
SchemaType_integer,1855
ResponseContent_new,1
Pattern_Depth_1,4
OauthFlowTokenUrl,2
SchemaType_string,8058
ResponsesExtension,0
ResponseContent,620
Path_Get,173
OAuthFlowScopes,0
query_Parameter,388
SchemaType_number,30
RequestBodyComponent,3
HeaderComponent,0
MediaTypeExtension,0
RequiredRequestBody,56
Items_Depth_3,7
Server,1
SchemaExtension_Depth_2,75
OAuthFlowExtension,0
ResponseCode_429,5
Format_double_Depth_1,6
RequestBodyContent,276
ResponseLink,0
PathServer,0
ResponseCode_401,14
OperationTag,373
RequestBodyContent_multipart/form-data,140
AllOf_Depth_2,108
Component,188
path_Parameter,459
Enum_Depth_1,3523
RequestBodyContent_application/json,136
ComponentExtension,0
ResponseExtension,0
ExampleExtension,0
Items_Depth_2,156
MaxItems_Depth_2,20
Path,265
RequiredParameter,508
MediaTypeEncoding,0
Response,962
ResponseCode_202,3
Format_uri_Depth_1,3
Format_password_Depth_1,2
GlobalExtension,1
MaxLength_Depth_2,155
Format_time_Depth_2,8
SecurityScheme_Type_oauth2,2
ResponseHeader,13
MinLength_Depth_1,55
Enum_Depth_4,0
Properties_Depth_4,0
SchemaExample_Depth_2,8
OperationExtension,0
ResponseCode_201,51
HeaderContent,0
Format_binary_Depth_1,1
Items_Depth_1,876
Path_Patch,54
MinLength_Depth_3,2
SecurityScheme_In_header,1
Format_email_Depth_2,66
AllOf_Depth_1,215
Path_Put,24
OAuthFlowAuthorizationUrl,1
Format_uuid_Depth_1,28
MinItems_Depth_1,10
ExampleComponent,0
ParameterExtension,37
ResponseContent_application/xml,308
ResponseCode_200,217
Format_date-time_Depth_3,13
Enum_Depth_2,885
GlobalWebhook,0
PathParameter,120
PathExtension,0
Format_date-time_Depth_1,166
MaxLength_Depth_3,26
SchemaExtension_Depth_4,0
Format_string_Depth_1,2
SecuritySchemeComponent,3
Format_int64_Depth_1,105
SchemaType_boolean,4399
Format_email_Depth_1,36
Format_date-time_Depth_2,151
LinkComponent,0
RequiredSchema_Depth_2,107
Example,223
Responses,373
HeaderMultipleExamples,0
HeaderStyle_,26
Link,0
ResponseCode_409,9
Path_Post,60
Properties_Depth_1,10671
RequestBody,141
Header,13
HeaderExtension,0
ResponseComponent,0
OAuthFlowsExtension,0
OAuthFlow,2
ServerExtension,0
Operation,373
Format_string_Depth_2,9
ParameterComponent,47
AnyOf_Depth_2,1
SecuritySchemeExtension,0
SchemaType_object,2941
ResponseCode_404,242
Enum_Depth_3,81
Format_date_Depth_1,139
Properties_Depth_2,3888
Minimum_Depth_1,62
Properties_Depth_3,736
ResponseContent_application/json,311
ResponseCode_204,136
Format_uuid_Depth_2,27
SchemaComponent,135
OperationParameter,680
Path_Delete,62
